"STATEICP","COUNTYICP","AGE","RACE","RACED"\
5,70,18,1,100\
5,90,19,1,100\
5,90,18,1,100\
5,90,18,1,100\
5,90,23,2,200\
5,70,19,1,100\
5,70,19,1,100\
5,70,29,7,700\
5,70,18,1,100\
5,30,15,7,700\
5,70,20,8,801\
5,0,20,6,640\
5,0,21,1,100\
5,30,88,7,700\
5,90,18,1,100\
5,90,57,2,200\
5,90,20,1,100\
5,90,18,8,802\
5,0,20,1,100\
5,0,21,1,100\
5,0,96,1,100\
5,70,29,1,100\
5,70,30,2,200\
5,70,20,1,100\
5,90,19,1,100\
5,70,34,7,700\
5,70,45,2,200\
5,70,22,4,400\
5,70,35,1,100\
5,0,21,1,100\
5,0,88,1,100\
5,90,19,1,100\
5,0,88,1,100\
5,70,74,1,100\
5,70,22,1,100\
5,70,18,6,676\
5,70,50,1,100\
5,70,92,1,100\
5,0,20,6,640\
5,90,57,2,200\
5,70,88,1,100\
5,0,23,1,100\
5,0,21,2,200\
5,70,19,1,100\
5,70,19,1,100\
5,70,19,1,100\
5,0,20,1,100\
5,70,19,1,100\
5,70,23,1,100\
5,90,36,3,362\
5,0,21,1,100\
5,0,78,7,700\
5,90,49,1,100\
5,70,21,1,100\
5,0,20,1,100\
5,70,20,1,100\
5,70,23,1,100\
5,70,85,1,100\
5,30,71,1,100\
5,90,63,1,100\
5,0,91,1,100\
5,70,92,1,100\
5,70,96,1,100\
5,0,21,1,100\
5,70,34,7,700\
5,70,19,1,100\
5,70,82,1,100\
5,70,59,1,100\
5,0,79,2,200\
5,70,82,1,100\
5,0,19,1,100\
5,70,19,1,100\
5,70,72,1,100\
5,90,18,1,100\
5,70,20,1,100\
5,0,23,1,100\
5,70,55,1,100\
5,70,19,1,100\
5,0,15,7,700\
5,70,67,1,100\
5,70,86,1,100\
5,70,64,1,100\
5,70,21,1,100\
5,70,19,6,610\
5,0,86,1,100\
5,70,59,1,100\
5,70,74,1,100\
5,70,20,1,100\
5,70,96,1,100\
5,70,92,1,100\
5,70,19,1,100\
5,70,19,1,100\
5,30,36,3,362\
5,90,85,1,100\
5,70,19,1,100\
5,70,62,1,100\
5,30,96,2,200\
5,70,62,1,100\
5,70,72,1,100\
5,70,39,2,200\
5,30,16,3,399\
5,70,28,1,100\
5,70,19,1,100\
5,90,19,1,100\
5,90,17,7,700\
5,70,19,7,700\
5,70,19,1,100\
5,70,19,4,400\
5,70,19,1,100\
5,70,28,3,399\
5,90,19,1,100\
5,90,82,1,100\
5,70,22,1,100\
5,90,57,2,200\
5,70,18,1,100\
5,90,36,3,362\
5,0,30,2,200\
5,70,18,1,100\
5,70,61,1,100\
5,90,19,1,100\
5,70,38,1,100\
5,70,18,1,100\
5,0,25,1,100\
5,90,18,1,100\
5,90,19,1,100\
5,70,20,1,100\
5,70,19,8,815\
5,0,18,1,100\
5,70,96,1,100\
5,70,18,1,100\
5,70,74,1,100\
5,70,35,3,362\
5,90,20,2,200\
5,70,20,8,826\
5,70,35,1,100\
5,0,71,1,100\
5,70,34,2,200\
5,70,67,1,100\
5,90,18,8,802\
5,70,74,1,100\
5,70,19,2,200\
5,70,96,1,100\
5,70,69,1,100\
5,70,53,1,100\
5,70,19,1,100\
5,70,96,1,100\
5,70,19,1,100\
5,30,80,1,100\
5,0,18,1,100\
5,70,80,1,100\
5,70,28,3,399\
5,70,74,1,100\
5,70,16,2,200\
5,70,19,6,610\
5,70,22,1,100\
5,30,96,2,200\
5,70,19,1,100\
5,90,69,1,100\
5,70,63,1,100\
5,70,20,1,100\
5,70,59,1,100\
5,90,20,1,100\
5,0,20,1,100\
5,70,22,1,100\
5,70,19,1,100\
5,70,34,2,200\
5,70,88,1,100\
5,70,31,1,100\
5,0,20,1,100\
5,90,19,1,100\
5,70,17,1,100\
5,70,55,1,100\
5,70,21,1,100\
5,70,77,1,100\
5,70,20,2,200\
5,70,22,1,100\
5,30,55,1,100\
5,70,21,1,100\
5,70,18,1,100\
5,70,20,2,200\
5,70,20,4,400\
5,70,20,4,400\
5,90,18,6,662\
5,90,19,1,100\
5,70,29,1,100\
5,90,19,1,100\
5,90,19,1,100\
5,90,19,1,100\
5,0,20,1,100\
5,70,62,1,100\
5,70,85,1,100\
5,70,19,1,100\
5,90,20,1,100\
5,70,96,1,100\
5,70,73,1,100\
5,70,57,2,200\
5,70,41,9,990\
5,90,19,1,100\
5,70,85,1,100\
5,70,20,8,826\
5,70,20,1,100\
5,70,18,1,100\
5,70,19,6,620\
5,30,96,1,100\
5,70,49,1,100\
5,70,18,8,813\
5,90,18,1,100\
5,70,55,1,100\
5,0,36,3,362\
5,70,19,1,100\
5,90,18,1,100\
5,90,19,1,100\
5,70,88,1,100\
5,70,19,1,100\
5,70,17,1,100\
5,70,84,1,100\
5,0,19,1,100\
5,70,71,1,100\
5,90,19,1,100\
5,70,83,1,100\
5,70,73,1,100\
5,70,75,1,100\
5,70,19,6,610\
5,70,20,2,200\
5,70,16,2,200\
5,70,57,1,100\
5,70,20,1,100\
5,90,18,1,100\
5,90,19,1,100\
5,70,19,1,100\
5,70,19,1,100\
5,70,19,1,100\
5,70,19,4,400\
5,70,18,8,811\
5,30,83,1,100\
5,70,19,1,100\
5,70,22,4,400\
5,70,20,8,826\
5,70,77,1,100\
5,90,80,1,100\
5,70,57,2,200\
5,70,19,1,100\
5,70,81,1,100\
5,0,19,1,100\
5,0,18,9,925\
5,70,85,1,100\
5,70,59,1,100\
5,70,19,1,100\
5,70,21,1,100\
5,30,64,1,100\
5,70,19,1,100\
5,90,20,1,100\
5,70,19,1,100\
5,70,20,8,802\
5,70,32,7,700\
5,70,19,1,100\
5,70,18,9,925\
5,70,17,1,100\
5,0,19,1,100\
5,70,82,1,100\
5,70,19,8,813\
5,70,60,7,700\
5,70,19,1,100\
5,70,18,1,100\
5,70,19,8,801\
5,70,18,1,100\
5,70,36,3,362\
5,0,20,1,100\
5,70,89,6,610\
5,70,21,1,100\
5,30,96,1,100\
5,90,19,1,100\
5,70,64,1,100\
5,90,19,1,100\
5,70,21,1,100\
5,70,19,1,100\
5,70,66,1,100\
5,70,19,1,100\
5,70,20,8,815\
5,70,26,7,700\
5,90,19,1,100\
5,70,20,1,100\
5,90,90,1,100\
5,70,48,2,200\
5,70,84,1,100\
5,70,21,1,100\
5,90,20,1,100\
5,70,19,1,100\
5,70,19,6,676\
5,70,21,1,100\
5,70,62,1,100\
5,70,25,1,100\
5,70,18,1,100\
5,70,19,7,700\
5,90,20,2,200\
5,70,23,1,100\
5,70,96,1,100\
5,70,85,1,100\
5,0,34,7,700\
5,90,20,1,100\
5,70,73,1,100\
5,90,19,1,100\
5,70,20,2,200\
5,70,18,1,100\
5,70,18,1,100\
5,70,19,1,100\
5,90,76,1,100\
5,70,91,1,100\
5,70,19,7,700\
5,70,20,1,100\
5,0,19,8,826\
5,70,19,6,620\
5,0,86,1,100\
5,70,19,8,815\
5,90,19,1,100\
5,0,50,1,100\
5,0,18,1,100\
5,70,19,1,100\
5,70,19,1,100\
5,90,18,1,100\
5,0,19,1,100\
5,90,20,1,100\
5,30,96,1,100\
5,70,84,1,100\
5,70,18,1,100\
5,70,23,6,620\
5,70,19,1,100\
5,90,19,1,100\
5,70,19,1,100\
5,0,19,1,100\
5,90,16,3,399\
5,90,81,1,100\
5,70,19,2,200\
5,90,18,1,100\
5,30,49,1,100\
5,70,21,1,100\
5,90,90,1,100\
5,70,20,1,100\
5,70,18,4,400\
5,0,20,1,100\
5,70,20,1,100\
5,70,69,1,100\
5,90,19,1,100\
5,90,18,1,100\
5,0,20,9,901\
5,70,18,1,100\
5,90,19,2,200\
5,30,85,1,100\
5,70,22,2,200\
5,70,18,1,100\
5,0,71,1,100\
5,90,19,1,100\
5,70,22,2,200\
5,0,18,1,100\
5,90,20,2,200\
5,70,18,1,100\
5,90,17,7,700\
5,30,96,1,100\
5,70,89,1,100\
5,0,19,1,100\
5,70,30,2,200\
5,90,49,1,100\
5,70,60,1,100\
5,70,52,1,100\
5,70,77,1,100\
5,90,21,2,200\
5,70,18,9,925\
5,70,21,1,100\
5,70,85,1,100\
5,70,18,8,811\
5,70,77,1,100\
5,70,29,1,100\
5,70,86,1,100\
5,90,18,1,100\
5,70,20,2,200\
5,70,55,1,100\
5,0,20,1,100\
5,70,18,6,669\
5,70,86,1,100\
5,70,96,2,200\
5,70,19,1,100\
5,0,29,7,700\
5,70,28,1,100\
5,70,83,1,100\
5,70,82,1,100\
5,0,18,1,100\
5,70,73,1,100\
5,70,18,4,400\
5,30,91,1,100\
5,90,19,1,100\
5,70,21,1,100\
5,30,29,7,700\
5,90,80,1,100\
5,0,18,1,100\
5,70,83,1,100\
5,70,55,1,100\
5,30,96,1,100\
5,70,21,1,100\
5,70,80,1,100\
5,70,62,1,100\
5,70,20,8,815\
5,70,55,1,100\
5,70,75,1,100\
5,70,96,1,100\
5,70,18,1,100\
5,70,82,1,100\
5,30,96,2,200\
5,0,90,1,100\
5,0,20,1,100\
5,70,19,1,100\
5,90,19,1,100\
5,90,18,1,100\
5,70,74,1,100\
5,70,19,6,610\
5,70,20,1,100\
5,90,49,1,100\
5,0,19,1,100\
5,70,20,8,826\
5,70,20,6,663\
5,70,19,1,100\
5,0,18,1,100\
5,70,20,6,640\
5,70,21,1,100\
5,70,16,2,200\
5,0,23,1,100\
5,90,19,1,100\
5,90,19,1,100\
5,70,22,4,400\
5,70,80,1,100\
5,70,22,1,100\
5,30,16,1,100\
5,70,18,1,100\
5,70,71,1,100\
5,70,20,1,100\
5,70,18,1,100\
5,0,18,1,100\
5,70,80,1,100\
5,90,19,1,100\
5,70,19,1,100\
5,70,18,1,100\
5,0,26,6,640\
5,0,22,1,100\
5,70,19,6,620\
5,70,74,1,100\
5,70,72,1,100\
5,70,19,7,700\
5,70,19,4,400\
5,70,16,1,100\
5,90,62,1,100\
5,70,66,1,100\
5,0,18,9,925\
5,70,19,1,100\
5,70,34,7,700\
5,30,29,7,700\
5,0,19,1,100\
5,70,19,1,100\
5,70,20,1,100\
5,70,19,7,700\
5,70,20,1,100\
5,0,19,1,100\
5,0,19,1,100\
5,30,34,7,700\
5,90,20,1,100\
5,70,19,1,100\
